ID,PrimaryKey,Plant_sp_count,BareSoilCover,TotalFoliarCover,FH_TotalLitterCover,latitude,longitude,CRS
62,CO_RGFO_LUP_2022_FO-163_V12023-09-01,81,2,85.33333333,5.33333333,38.71192837,-105.2717223,4326
63,CO_SWDO_Fuels_2022_Red_Creek-02_V12023-09-01,81,3.33333333,80,10,38.51176609,-107.2304499,4326
64,MT_MCFO_LUP_2023_MCFO2022-082_V12023-09-01,81,7.33333333,76.66666667,14,47.41931582,-107.7848974,4326
65,CO_RGFO_LUP_2017_AS-429_V22023-09-01,80,2,85.33333333,8,37.5034113,-105.1714756,4326
66,MTC01000_2019_Grss-0402019-09-01,80,17.33333333,70.66666667,1.33333333,46.15676357,-107.5767821,4326
67,WY_Land-Use-Plan-Sample-Design-2021_MGP-288_V12021-09-01,80,1.33333333,94.66666667,3.33333333,44.3912709,-106.2819884,4326
68,WY_WFO-Terrestrial-AIM-2021_SH-PHMA-246_V12021-09-01,80,20,59.33333333,20.66666667,43.69749274,-107.5840795,4326
69,WY_WY_LanderFieldOffice_2016_WY_SAGE-600_V12021-09-01,80,24.66666667,49.33333333,19.33333333,42.77538833,-107.8949099,4326
70,WY_WY_LanderFieldOffice_2016_WY_SAGE-601_V12021-09-01,80,4.66666667,79.33333333,14,43.49233219,-107.5601185,4326
71,WY_WY_LanderFieldOffice_2016_WY_SAGE-603_V12021-09-01,80,26,47.33333333,13.33333333,42.33001302,-107.9039996,4326
72,CO_CO-NWD-2020_CW-1039_V12020-09-01,79,1.33333333,90.66666667,8,39.55130767,-108.8016754,4326
73,MTC02000_2018_SiltyLoamy-2532018-09-01,79,0.67567568,93.24324324,4.72972973,46.50725451,-105.6103239,4326
74,WY_Land-Use-Plan-Sample-Design-2021_MGP-294_V12021-09-01,78,24,60,13.33333333,43.67717298,-106.5831295,4326
75,WY_WFO-Terrestrial-AIM-2021_SH-PHMA-249_V12021-09-01,78,12.66666667,72,14.66666667,44.08013903,-108.6576165,4326
76,WY_WY-Kemmerer-FO-2021_KFO2021-007_V22021-09-01,78,25.33333333,46,6,42.0471401,-110.4314181,4326
77,CON02000_OverSample2019_CRV-182019-09-01,77,6,76,13.33333333,39.86967561,-106.7245622,4326
78,CO_KFO_LUP_2021_KFO2021_NR_021_V12022-09-01,77,6,78.66666667,13.33333333,40.93841163,-106.040263,4326
79,MTC01000_2019_SgShr-1022019-09-01,76,33.33333333,58.66666667,0,45.04243899,-108.7678788,4326
80,MTC02000_2018_SiltyLoamy-2542018-09-01,76,5.36912752,83.89261745,10.73825503,46.69568934,-104.6892216,4326
81,MT_MCFO_LUP_2022_MCFO2022_004_V12022-09-01,76,2,94,4,46.34617829,-104.6598329,4326
82,MT_NCMD_LUP_2022_BPB-296_V12023-09-01,76,4.66666667,76,12.66666667,48.02681128,-109.2235447,4326
83,WY_BFO_LUP_2022_BFO2022-016_V12023-09-01,76,34.66666667,64.66666667,0.66666667,44.23004113,-105.8718431,4326
84,WY_CYFO-2021_BAR-094_V12021-09-01,76,71.33333333,14,6.66666667,44.81856111,-108.225719,4326
85,WY_LFO_LUP_2022_LFO2022_004_V22022-09-01,76,10.66666667,72.66666667,15.33333333,42.60528104,-108.4005004,4326
86,WY_NFO_LUP_2022_NFO2022_NR_028_V12022-09-01,76,12.66666667,76,5.33333333,44.05226265,-104.9403287,4326
87,WY_WY-Kemmerer-FO-2021_KFO2021-009_V22021-09-01,76,22,60.66666667,13.33333333,41.80303549,-110.6643099,4326
88,WY_WY_NewcastleFieldOffice_2021_GR-101_V12021-09-01,76,31.33333333,60,8.66666667,44.18585994,-104.7837604,4326
89,WY_WY_NewcastleFieldOffice_2021_SH-219_V12021-09-01,76,62,33.33333333,2.66666667,43.94557333,-104.4478912,4326
90,1807121127355322018-09-01,75,19.33333333,61.33333333,12,39.985273,-106.291831,4326
91,CO_CO_White_River_Field_Office_TRT_2016_TRT-GRSG-DE-001_V22021-09-01,75,8.66666667,25.33333333,61.33333333,39.76103524,-108.4567467,4326
92,19071110231776182019-09-01,74,4.66666667,78,12.66666667,42.054855,-110.439885,4326
93,MTL00000_2018_MS-5102019-09-01,74,1.33333333,68.66666667,22,47.71549604,-108.5002211,4326
94,MT_BIFO_INT_TRGT_NC2S5_2019_TGT_BBGC_SgStp_001_V22022-09-01,74,4.66666667,94.66666667,0.66666667,45.12481812,-109.215278,4326
95,MT_MCFO_LUP_2023_MCFO2022-075_V12023-09-01,74,0.66666667,88.66666667,8,47.20789658,-106.5626904,4326
96,MT_MCFO_LUP_2023_MCFO2022-091_V12023-09-01,74,22,64,10.66666667,47.08590096,-107.8559638,4326
97,MT_MCFO_LUP_2023_MCFO2022-102_V12023-09-01,74,3.33333333,87.33333333,5.33333333,44.99989512,-106.6776147,4326
98,MT_MTNHP-Sample-2021_TGT-FUELS-JohnnyCoal-Rx-02_V12021-09-01,74,2,64,34,46.2959695,-108.4406897,4326
99,WY_Land-Use-Plan-Sample-Design-2021_MGP-287_V12021-09-01,74,8.66666667,72.66666667,14,44.25511845,-106.054216,4326
100,WY_Land-Use-Plan-Sample-Design-2021_MGP-293_V12021-09-01,74,24.66666667,64.66666667,8.66666667,43.83969558,-106.7826581,4326
101,WY_NFO_LUP_2022_NFO2022_NR_029_V12022-09-01,74,34,54.66666667,1.33333333,43.29718153,-104.5619503,4326
102,WY_NFO_LUP_2022_NFO2022_NR_039_V12022-09-01,74,18,76,6,43.45292521,-104.5553672,4326
